Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Kreuzberg,52.4976443,13.411914000000001,Cocolo Ramen,52.493752,13.418159,Ramen Restaurant
Kreuzberg,52.4976443,13.411914000000001,Luzia,52.50160763417674,13.418269755829378,Bar
Kreuzberg,52.4976443,13.411914000000001,Möbel-Olfe,52.5001155186317,13.417517185358198,Bar
Kreuzberg,52.4976443,13.411914000000001,Concierge Coffee,52.49607704120797,13.422148954474327,Coffee Shop
Kreuzberg,52.4976443,13.411914000000001,ZOLA,52.4962034999391,13.422346111556184,Pizza Place
Kreuzberg,52.4976443,13.411914000000001,Foto Kotti,52.49912350347744,13.419477714552132,Photography Studio
Kreuzberg,52.4976443,13.411914000000001,Maroush,52.50093770064716,13.4190620805529,Middle Eastern Restaurant
Kreuzberg,52.4976443,13.411914000000001,Flying Steps Academy,52.50301816496556,13.407391986424827,Dance Studio
Kreuzberg,52.4976443,13.411914000000001,Alimentari e Vini,52.49907160759681,13.421805946941532,Gourmet Shop
Kreuzberg,52.4976443,13.411914000000001,The Visit Coffee Roastery,52.500594,13.419473,Coffee Shop
Kreuzberg,52.4976443,13.411914000000001,Bal Köfteçi,52.49499861055539,13.420828549139543,Kofte Place
Kreuzberg,52.4976443,13.411914000000001,Weinblatt,52.492761576946855,13.416144985505046,Deli / Bodega
Kreuzberg,52.4976443,13.411914000000001,B-swingt,52.50180944600324,13.411082364671932,Dance Studio
Kreuzberg,52.4976443,13.411914000000001,Le Saint Amour,52.495756369534526,13.421540383729123,French Restaurant
Kreuzberg,52.4976443,13.411914000000001,eismanufaktur Berlin,52.494574,13.418825,Ice Cream Shop
Kreuzberg,52.4976443,13.411914000000001,Santa Maria,52.50171776543595,13.417892329736027,Mexican Restaurant
Kreuzberg,52.4976443,13.411914000000001,Ankerklause,52.49577,13.420595,Pub
Kreuzberg,52.4976443,13.411914000000001,Modern Graphics,52.5007477848316,13.42146455721488,Comic Shop
Kreuzberg,52.4976443,13.411914000000001,Altes Zollhaus,52.49659220630421,13.40122178935574,Wine Bar
Kreuzberg,52.4976443,13.411914000000001,KaffeeBar,52.49428567051442,13.418727812908049,Coffee Shop
Kreuzberg,52.4976443,13.411914000000001,Koka 36 Konzertkasse,52.501266,13.419853,General Entertainment
Kreuzberg,52.4976443,13.411914000000001,Albatross,52.491459987614526,13.416645405086456,Pastry Shop
Kreuzberg,52.4976443,13.411914000000001,JustMusic,52.50397422151317,13.408974409103394,Music Store
Kreuzberg,52.4976443,13.411914000000001,Max und Moritz,52.502709184440235,13.414106992314636,German Restaurant
Kreuzberg,52.4976443,13.411914000000001,motion*s (motion*s Tanz- und Bewegungsstudio),52.50323297954792,13.408416509628294,Dance Studio
Kreuzberg,52.4976443,13.411914000000001,Künstlerhaus Bethanien,52.49714806895603,13.419166704464853,Art Gallery
Kreuzberg,52.4976443,13.411914000000001,Paloma Bar,52.499179967335856,13.41874623697873,Bar
Kreuzberg,52.4976443,13.411914000000001,Jivamukti Yoga,52.50141179143049,13.42099908295822,Yoga Studio
Kreuzberg,52.4976443,13.411914000000001,Kremanski,52.500008111906816,13.417953561576386,Café
Kreuzberg,52.4976443,13.411914000000001,Wochenmarkt am Maybachufer,52.49515133547292,13.423269186979553,Farmers Market
Kreuzberg,52.4976443,13.411914000000001,Fahimi,52.49914911618643,13.41970830631879,Cocktail Bar
Kreuzberg,52.4976443,13.411914000000001,Datscha,52.49380528273849,13.418690354316261,Russian Restaurant
Kreuzberg,52.4976443,13.411914000000001,Spindler,52.4961584061783,13.421192583614134,Modern European Restaurant
Kreuzberg,52.4976443,13.411914000000001,St. Agnes,52.500645241285184,13.40104614278766,Art Gallery
Kreuzberg,52.4976443,13.411914000000001,To Koutouki,52.493850365711104,13.421564883993494,Taverna
Kreuzberg,52.4976443,13.411914000000001,Der Milchladen,52.5019072280175,13.416220794640125,Bistro
Kreuzberg,52.4976443,13.411914000000001,Companion Coffee,52.50114772533567,13.421061728053246,Coffee Shop
Kreuzberg,52.4976443,13.411914000000001,SPREE CrossFit,52.502843806522364,13.407586669756228,Gym / Fitness Center
Kreuzberg,52.4976443,13.411914000000001,pop kultur,52.496100744208995,13.421816825866697,Café
Kreuzberg,52.4976443,13.411914000000001,König Gallery,52.5007963346421,13.40108333958754,Art Gallery
Kreuzberg,52.4976443,13.411914000000001,Co'm Á,52.500278,13.422589,Sushi Restaurant
Kreuzberg,52.4976443,13.411914000000001,Voo Store,52.50116203054585,13.421170687928225,Boutique
Kreuzberg,52.4976443,13.411914000000001,Kaffeekirsche,52.503056531388985,13.420549025126215,Coffee Shop
Kreuzberg,52.4976443,13.411914000000001,Plan Café,52.495399,13.417402,Coffee Shop
Kreuzberg,52.4976443,13.411914000000001,Chikogi,52.501587,13.418942,Korean Restaurant
Kreuzberg,52.4976443,13.411914000000001,Brammibal's Donuts,52.49511480778854,13.423046367656958,Donut Shop
Kreuzberg,52.4976443,13.411914000000001,SO36,52.500010256337525,13.421936313164833,Music Venue
Kreuzberg,52.4976443,13.411914000000001,Biererei Bar & Vintage Cellar,52.500666291859176,13.421092629432678,Beer Bar
Kreuzberg,52.4976443,13.411914000000001,Zazza,52.4918024151049,13.420756831047827,Café
Kreuzberg,52.4976443,13.411914000000001,Trigger Copy,52.50052207903325,13.417373322921,Paper / Office Supplies Store
Kreuzberg,52.4976443,13.411914000000001,Hotel Johann,52.495807603907636,13.40007172201482,Hotel
Kreuzberg,52.4976443,13.411914000000001,Gnam Pasta Factory,52.49432403673122,13.420947790145874,Italian Restaurant
Kreuzberg,52.4976443,13.411914000000001,Hürrem Sultan Lounge,52.503235887804195,13.412504196166992,Hookah Bar
Kreuzberg,52.4976443,13.411914000000001,Yellow Yoga,52.50068776436536,13.423982212408939,Yoga Studio
Kreuzberg,52.4976443,13.411914000000001,BIO COMPANY,52.49936824807244,13.420995937201187,Organic Grocery
Kreuzberg,52.4976443,13.411914000000001,Bonanza Roastery,52.504155208906184,13.4201276518078,Coffee Shop
Kreuzberg,52.4976443,13.411914000000001,Sputnik Kino,52.49009392361376,13.410273379093855,Indie Movie Theater
Kreuzberg,52.4976443,13.411914000000001,St. Bart,52.491887,13.417165,Wine Bar
Kreuzberg,52.4976443,13.411914000000001,Critical Mass Berlin,52.500362917727834,13.422938039015179,Bike Trail
Kreuzberg,52.4976443,13.411914000000001,MAHLZEIT Kreuzberg,52.49889271281548,13.400009368629338,Bistro
Kreuzberg,52.4976443,13.411914000000001,Die Henne,52.504211725677145,13.417590759880886,German Restaurant
Kreuzberg,52.4976443,13.411914000000001,Hotel Orania,52.50208531379589,13.416747536264154,Hotel
Kreuzberg,52.4976443,13.411914000000001,Die Eismacher,52.49116544083101,13.411136186340656,Ice Cream Shop
Kreuzberg,52.4976443,13.411914000000001,Wirtshaus zum Mitterhofer,52.491401145358736,13.412989761695771,Austrian Restaurant
Kreuzberg,52.4976443,13.411914000000001,BAR IN A JAR,52.496896,13.420616,Bar
Prenzlauer Berg,52.539846600000004,13.4285652,denn’s Biomarkt,52.53899327070821,13.425192803024242,Organic Grocery
Prenzlauer Berg,52.539846600000004,13.4285652,Birra - Italian Craft Beer,52.53862401663207,13.423833782819282,Beer Bar
Prenzlauer Berg,52.539846600000004,13.4285652,Zeiss-Großplanetarium,52.542954,13.428055,Planetarium
Prenzlauer Berg,52.539846600000004,13.4285652,BRÄUGIER BrewPub,52.54215282039202,13.423850798790227,Beer Bar
Prenzlauer Berg,52.539846600000004,13.4285652,Park hinter dem Planetarium,52.54266796907242,13.429155349731445,Park
Prenzlauer Berg,52.539846600000004,13.4285652,Monterey Bar,52.53963049460394,13.422444462776184,Beer Bar
Prenzlauer Berg,52.539846600000004,13.4285652,Zweistrom,52.5393128298324,13.421396575082154,Falafel Restaurant
Prenzlauer Berg,52.539846600000004,13.4285652,ImmerTreu,52.53644337075163,13.42513315895337,Cocktail Bar
Prenzlauer Berg,52.539846600000004,13.4285652,Five Elephant,52.539194,13.421335,Coffee Shop
Prenzlauer Berg,52.539846600000004,13.4285652,Atopia,52.541599149172995,13.425483087362789,Bar
Prenzlauer Berg,52.539846600000004,13.4285652,La Kritzeria,52.54191870395446,13.42452689933416,Candy Store
Prenzlauer Berg,52.539846600000004,13.4285652,Brammibal's Donuts,52.539404504281194,13.42298043479712,Donut Shop
Prenzlauer Berg,52.539846600000004,13.4285652,Trattoria Zoe,52.541842,13.423225,Trattoria/Osteria
Prenzlauer Berg,52.539846600000004,13.4285652,Chili & Paprika,52.53631180359912,13.43246073571716,Gourmet Shop
Prenzlauer Berg,52.539846600000004,13.4285652,Goldhahn & Sampson,52.54219963187534,13.420430615306818,Gourmet Shop
Prenzlauer Berg,52.539846600000004,13.4285652,Delizie D'Italia,52.53915611505613,13.421155682207546,Italian Restaurant
Prenzlauer Berg,52.539846600000004,13.4285652,Backstube SowohlAlsAuch,52.538119835602814,13.420464992523192,Bakery
Prenzlauer Berg,52.539846600000004,13.4285652,Perle Bar,52.53743894857355,13.422303633316385,Cocktail Bar
Prenzlauer Berg,52.539846600000004,13.4285652,Sorsi e Morsi,52.5346405502197,13.424978739344986,Wine Bar
Prenzlauer Berg,52.539846600000004,13.4285652,häppies,52.541465603578764,13.419871504217673,Dumpling Restaurant
Prenzlauer Berg,52.539846600000004,13.4285652,Victoria met Albert,52.54275011124199,13.420867785230792,Boutique
Prenzlauer Berg,52.539846600000004,13.4285652,8greenbottles natural wine shop + tasting room,52.54011010980828,13.421977758407593,Food & Drink Shop
Prenzlauer Berg,52.539846600000004,13.4285652,La Criolla Empanadas,52.534793388813846,13.424606792515412,Empanada Restaurant
Prenzlauer Berg,52.539846600000004,13.4285652,Gilgamesch,52.5347556968551,13.431398049907218,Middle Eastern Restaurant
Prenzlauer Berg,52.539846600000004,13.4285652,Cafelix,52.535471,13.426628,Café
Prenzlauer Berg,52.539846600000004,13.4285652,Tribeca Ice Cream,52.53739405956309,13.421227304113174,Ice Cream Shop
